"","business.txt","culture.txt","datademirutottori.txt","opinion.txt","press_release.txt","public.txt"
"-",10,0,30,6,2,4
"-」",0,0,0,0,0,1
"%",8,0,33,3,0,4
"%-",1,0,0,0,0,0
"％",12,0,2,8,0,3
"%、",2,0,1,0,0,1
"%、「",0,0,2,0,0,0
"%。",3,0,0,1,0,14
"%」",2,0,0,0,0,0
"&",1,0,0,1,0,0
"*",0,0,0,20,0,0
",",25,0,12,31,8,14
"，",1,0,0,0,0,0
"/",36,0,0,4,17,6
"?",136,0,0,0,0,0
"?、",2,0,0,0,0,0
"??",3,0,0,0,0,0
"?々",2,0,0,0,0,0
"??、",1,0,0,0,0,0
"????",2,0,0,0,0,0
"?」",1,0,0,1,0,0
"[[LESS-THAN-1]]",0,0,0,0,0,0
"[[TOTAL-TOKENS]]",42273,681,16968,29113,5857,15844
"|",1,0,0,2,0,0
"「?",2,0,0,0,0,0
"「◯◯",0,0,0,1,0,0
"〝",0,0,0,0,1,0
"〟",0,0,0,0,1,0
"<",0,0,0,0,0,1
"=",1,0,1,1,0,1
"=、",1,0,0,0,0,0
"=「",0,0,0,1,0,0
">、",0,0,0,0,0,1
"◯◯",0,0,0,1,0,0
"⇒",0,0,0,1,0,0
"°",0,0,0,1,0,0
"0",5,0,3,1,0,5
"０",23,0,0,9,6,2
"〇",6,0,0,0,0,0
"00",0,0,0,0,0,1
"000",3,0,1,15,0,5
"014",0,0,1,0,0,0
"07",0,0,0,2,0,0
"073",2,0,0,0,0,0
"1",67,0,25,76,12,56
"１",22,0,1,9,3,8
"10",24,0,6,14,3,18
"100",8,0,6,3,0,1
"1000",1,0,0,0,0,5
"1013",0,0,0,0,0,1
"1015",1,0,0,0,1,0
"103",0,0,0,0,0,1
"1093",0,0,0,0,0,1
"10980",1,0,0,0,0,0
"11",0,0,0,0,1,3
"1100",0,0,0,1,0,0
"1114",1,0,0,0,0,0
"12",2,0,1,6,0,6
"120",0,0,0,1,0,0
"1262",0,0,0,0,0,1
"13",3,0,3,0,2,3
"14",2,0,3,2,0,2
"1４",1,0,0,0,0,0
"140",1,0,0,0,0,0
"1407",1,0,0,0,0,0
"1415",0,0,0,0,0,1
"15",7,0,5,4,0,1
"150",1,0,0,1,1,0
"1500",1,0,0,0,0,1
"1516",1,0,0,0,0,0
"152",0,0,0,1,0,0
"154",0,0,0,0,1,0
"1564",0,0,3,0,0,0
"157",0,0,0,1,0,0
"159",0,0,0,0,1,0
"16",1,0,0,6,1,1
"162",0,0,0,0,1,0
"17",6,0,0,0,0,2
"1720",1,0,1,0,0,0
"1741",0,0,1,0,0,0
"175",1,0,0,0,0,0
"1757",0,0,1,0,0,0
"179",0,0,1,0,0,0
"18",2,0,1,4,0,5
"1８",0,1,0,0,0,0
"180",0,0,0,1,0,1
"1800",0,0,0,0,0,1
"1834",0,0,2,0,0,0
"1890",0,0,2,0,0,0
"19",0,0,6,3,0,3
"1964",0,0,0,0,1,0
"1970",0,0,0,1,0,0
"1980",1,0,0,0,0,1
"1981",1,0,0,0,0,0
"1986",0,0,0,0,1,0
"1989",0,0,0,2,0,0
"1990",1,0,0,0,0,2
"1991",0,0,1,0,0,0
"1996",2,0,0,0,0,0
"1997",0,0,0,1,0,0
"１つ",4,0,0,1,0,0
"2",53,1,13,53,17,50
"２",12,0,0,7,4,8
"20",7,0,3,9,0,7
"200",4,0,1,3,0,1
"2000",1,0,0,0,0,3
"2001",1,0,0,0,0,0
"2004",1,0,0,0,0,0
"2005",0,0,0,0,1,0
"2008",1,0,2,0,0,1
"2009",0,0,4,0,1,2
"2010",3,0,2,0,1,0
"2011",0,0,2,0,0,0
"2012",1,0,1,0,0,0
"2013",0,0,1,0,0,0
"2014",1,0,2,4,1,0
"2015",1,0,2,0,0,4
"2016",4,1,2,0,0,2
"2017",6,0,6,4,0,0
"2018",5,0,5,6,1,0
"2019",9,0,3,8,1,8
"2020",11,0,2,11,9,12
"2021",2,0,0,0,0,1
"2024",2,0,0,0,0,0
"2025",0,0,0,1,0,0
"2030",2,0,0,0,0,0
"2040",0,0,3,0,0,0
"2045",0,0,2,0,0,0
"2060",1,0,0,0,0,0
"21",1,0,2,2,1,0
"216",0,0,0,0,0,1
"22",5,0,0,1,1,3
"2200",0,0,1,0,0,0
"23",2,0,1,2,0,2
"232",0,0,1,0,0,0
"2382",1,0,0,0,0,0
"25",2,0,10,0,0,1
"252",0,0,0,0,1,0
"2580",0,0,0,0,0,1
"26",3,0,2,0,1,0
"2602",0,0,1,0,0,0
"27",4,0,7,2,0,1
"270",0,0,0,0,0,1
"2700",0,0,0,0,0,1
"28",1,0,9,0,0,2
"282",0,0,0,1,0,0
"2850",1,0,0,0,0,0
"29",1,0,7,1,3,3
"2900",0,0,1,0,0,0
"２つ",6,0,0,3,0,0
"２月",0,0,0,1,0,0
"3",37,0,19,24,3,22
"３",7,1,0,8,1,6
"30",9,0,10,12,1,10
"300",6,0,0,1,0,2
"3000",2,0,0,0,1,5
"30004000",0,0,0,0,0,1
"3035",1,0,0,0,0,0
"3040",0,0,0,0,1,0
"31",2,0,7,0,0,8
"32",1,0,0,0,0,0
"33",0,0,1,0,0,2
"330",0,0,0,0,0,2
"340",2,0,1,0,0,0
"35",0,0,0,0,0,2
"3500",0,0,0,0,0,1
"3554",0,0,1,0,0,0
"36",2,0,2,0,0,1
"3602",0,0,0,0,1,0
"37",0,0,0,2,0,1
"38",0,0,3,0,0,1
"39",0,0,1,0,0,0
"390",0,0,1,0,0,0
"３つ",5,0,0,4,1,0
"３月",3,0,0,0,0,1
"4",32,0,14,40,3,19
"４",3,0,0,3,0,3
"40",0,0,2,3,1,1
"400",3,0,1,3,0,0
"4000",0,0,0,0,0,4
"4090",0,0,0,0,1,0
"41",0,0,2,0,0,1
"419",1,0,0,0,0,0
"42",0,0,0,1,0,0
"420",1,0,0,0,0,0
"424",0,0,0,1,0,0
"428",1,0,0,0,0,0
"43",0,0,0,2,0,0
"44",2,0,1,1,1,0
"450",2,0,0,0,0,0
"4500",1,0,0,0,0,0
"46",0,0,4,1,0,2
"47",2,0,3,0,0,0
"470",1,0,0,0,0,0
"48",1,0,0,0,0,0
"49",0,0,1,1,0,0
"４つ",2,0,0,1,0,0
"４月",8,0,0,1,0,0
"5",38,0,12,17,5,17
"５",6,0,0,6,2,1
"50",0,0,4,0,0,1
"500",5,0,0,4,2,11
"5000",0,0,0,0,0,7
"503",1,0,0,0,0,0
"523",0,0,1,0,0,0
"53",1,0,0,0,0,0
"530",0,0,0,0,0,1
"54",0,0,0,1,0,1
"55",0,0,0,1,0,0
"5575",0,0,1,0,0,0
"56",2,0,1,0,0,0
"57",1,0,0,0,0,0
"５月",2,0,0,0,0,0
"6",18,0,6,9,7,29
"６",3,0,0,2,2,4
"60",8,0,0,3,0,0
"600",2,0,0,1,0,0
"6000",0,0,0,0,0,2
"6069",1,0,0,0,0,0
"61",0,0,1,1,0,0
"622",0,0,1,0,0,0
"63",1,0,0,0,0,0
"649",0,0,1,0,0,0
"65",1,0,3,5,0,0
"662",1,0,0,0,0,0
"67",0,0,0,0,0,1
"678",0,0,0,1,0,0
"68",0,0,0,1,0,0
"６月",0,0,0,0,1,0
"7",17,0,9,6,0,17
"７",3,0,0,0,0,2
"70",2,0,2,0,0,0
"700",0,0,1,1,0,2
"7000",0,0,0,0,0,1
"709",1,0,0,0,0,0
"718",0,0,2,0,0,0
"75",0,0,2,0,0,0
"76",0,0,1,1,0,0
"773",1,0,0,0,0,0
"779",0,0,0,3,0,0
"78",1,0,0,0,0,0
"783",0,0,1,0,0,0
"793",0,0,0,0,1,0
"794",0,0,0,0,0,1
"７月",0,0,1,0,1,0
"8",6,0,6,4,0,9
"８",4,0,0,1,0,0
"800",1,0,0,0,0,1
"8000",0,0,0,0,2,0
"806",0,0,0,2,0,0
"808",0,0,1,0,0,0
"81",0,0,1,0,0,0
"810",1,0,0,0,0,0
"8250",2,0,0,0,0,0
"83",0,0,2,0,0,0
"85",0,0,1,0,0,0
"850",1,0,0,0,0,0
"86",0,0,0,0,0,1
"862",1,0,0,0,0,0
"88",1,0,0,0,0,0
"896",0,0,1,0,0,0
"896411",0,0,1,0,0,0
"８つ",1,0,0,0,0,0
"８月",0,0,0,1,0,0
"9",3,0,2,5,0,8
"９",2,0,0,3,0,2
"90",1,0,2,0,0,0
"9000",0,0,0,1,0,1
"915",1,0,0,0,0,0
"9240",1,0,0,0,0,0
"924482",0,0,1,0,0,0
"931",1,0,0,0,0,0
"945",0,0,0,1,0,0
"950",1,0,0,0,0,0
"a",0,0,0,1,0,0
"A",0,0,0,8,0,1
"Act",0,0,2,0,0,0
"Action",1,0,0,0,0,0
"Adobe",0,0,0,1,0,0
"AI",13,1,1,2,0,0
"Air",1,0,0,0,0,0
"Amazon",3,0,0,0,0,0
"Ambiguity",0,0,0,1,0,0
"ANA",0,0,0,0,0,1
"Android",4,0,0,0,0,0
"AOI",0,0,0,1,0,0
"as",0,0,0,1,0,0
"au",3,0,0,0,0,0
"ａｕ",0,0,0,1,0,0
"auPay",1,0,0,0,0,0
"B",3,0,0,3,0,0
"BIJINES",0,0,0,0,0,1
"ＢＩＫＡＩ",0,0,0,0,1,0
"Birds",0,0,0,2,0,0
"BLESS",0,0,0,0,0,1
"Blue",0,0,0,2,0,0
"BOOK",2,0,0,0,0,0
"BTC",11,0,0,0,0,0
"BUSINES",0,0,0,0,0,1
"Business",1,0,0,0,0,0
"BUSINESS",5,1,10,1,6,7
"C",2,0,0,12,0,0
"℃",0,0,0,0,1,0
"CANPAN",0,0,0,3,0,0
"CAPITAL",0,0,0,1,0,0
"Challenging",0,0,0,1,0,0
"Check",1,0,0,0,0,0
"Chromebook",0,0,0,2,0,0
"Classroom",0,0,0,1,0,0
"㎝",0,0,0,0,1,0
"CM",2,0,0,0,0,0
"ＣＭ",0,0,0,2,0,0
"Coaching",0,0,0,1,0,0
"Complexity",0,0,0,1,0,0
"Concept",1,0,0,0,0,0
"ＣＯＯ",0,0,0,1,0,0
"coronavirus",0,0,0,0,0,1
"COVID",0,0,0,3,0,1
"Creativity",1,0,0,0,0,0
"CRM",1,0,0,0,0,0
"CSR",0,0,0,3,0,0
"CUBE",2,0,0,0,0,0
"d",12,0,0,0,0,0
"D",0,1,0,2,0,0
"demi",0,0,0,1,0,0
"DeNA",1,0,0,0,0,0
"disease",0,0,0,0,0,1
"DIY",0,0,0,1,0,0
"Do",1,0,0,0,0,0
"DS",0,0,0,1,0,0
"DX",1,0,0,0,0,0
"e",1,0,0,0,0,0
"Eat",0,0,0,0,0,2
"EC",0,0,2,0,0,0
"Education",0,0,0,1,0,0
"Eight",0,0,0,1,0,0
"Enterprise",1,0,0,0,0,0
"etc",1,0,0,0,0,0
"Event",0,0,0,0,0,2
"Excel",0,0,0,1,0,0
"EY",0,0,0,1,0,0
"F",0,0,0,1,0,0
