"","Term","business","culture","datademirutottori","opinion","press_release","public","total"
"1","こと",518,2,217,341,42,141,1261
"2","鳥取",278,1,340,168,99,228,1114
"3","県",157,0,337,65,52,187,798
"4","の",292,5,158,205,17,85,762
"5","よう",149,5,89,155,15,60,473
"6","人",143,5,64,124,21,58,415
"7","的",107,1,38,133,7,40,326
"8","年",78,1,85,50,18,60,292
"9","地域",88,0,45,96,10,45,284
"10","私",80,0,23,126,10,15,254
"11","者",71,3,56,46,17,58,251
"12","ため",100,0,30,63,12,44,249
"13","企業",128,0,37,55,5,15,240
"14","方",87,0,50,45,13,43,238
"15","1",67,0,25,76,12,56,236
"16","化",47,5,77,73,6,18,226
"17","コロナ",55,0,29,47,13,71,215
"18","中",84,2,32,57,7,28,210
"19","人口",17,0,145,25,3,2,192
"20","もの",74,8,33,53,5,17,190
"21","2",53,1,13,53,17,50,187
"22","日本",64,0,48,39,10,13,174
"23","多い",59,0,52,31,3,23,168
"24","事業",79,0,34,21,1,26,161
"25","円",60,0,4,28,3,63,158
"26","全国",26,0,79,16,8,28,157
"27","たち",53,0,17,59,10,16,155
"28","ない",52,0,20,58,11,11,152
"29","紹介",70,1,18,14,1,42,146
"30","月",28,0,10,38,14,53,143
"31","日",45,0,3,30,10,55,143
"32","率",10,0,107,8,0,17,142
"33","性",58,0,29,39,6,8,140
"34","仕事",76,1,13,42,5,2,139
"35","影響",53,2,27,11,10,35,138
"36","取り組み",38,0,15,20,0,65,138
"37","ウイルス",35,0,27,10,3,61,136
"38","今",55,2,16,46,4,13,136
"39","新型",34,0,24,9,10,54,131
"40","自分",56,0,2,69,2,0,129
"41","利用",51,0,24,8,7,35,125
"42","時間",75,0,6,12,4,26,123
"43","数",15,0,47,22,13,24,121
"44","高い",30,0,45,27,1,16,119
"45","今回",56,2,25,21,3,12,119
"46","情報",53,0,17,33,4,12,119
"47","良い",60,0,12,29,2,14,117
"48","一",43,0,18,30,6,19,116
"49","これ",48,0,11,41,8,7,115
"50","生活",30,0,12,18,1,52,113
"51","問題",36,0,35,25,2,15,113
"52","市",37,1,24,13,0,35,110
"53","地方",41,0,19,22,1,26,109
"54","必要",54,0,13,28,4,10,109
"55","4",32,0,14,40,3,19,108
"56","魅力",29,1,35,18,7,17,107
"57","支援",14,0,12,15,1,64,106
"58","3",37,0,19,24,3,22,105
"59","授業",70,0,1,34,0,0,105
"60","店",26,0,4,3,8,64,105
"61","感染",28,0,25,12,1,38,104
"62","高齢",3,0,76,11,0,13,103
"63","会社",80,0,1,14,5,2,102
"64","社会",25,1,21,45,0,9,101
"65","それ",36,1,13,33,8,8,99
"66","記事",42,2,17,13,7,18,99
"67","可能",32,0,23,23,4,16,98
"68","様々",30,1,15,19,6,26,97
"69","データ",29,0,57,3,1,5,95
"70","観光",56,0,3,4,3,29,95
"71","業",44,0,12,4,2,33,95
"72","活動",37,0,4,36,0,17,94
"73","何",27,0,12,51,2,0,92
"74","時",26,1,5,47,3,10,92
"75","さん",59,7,1,18,5,1,91
"76","5",38,0,12,17,5,17,89
"77","経済",28,1,11,37,0,12,89
"78","現在",20,0,25,26,5,13,89
"79","町",27,0,10,5,19,28,89
"80","産業",27,1,52,6,0,2,88
"81","就職",36,0,31,13,0,8,88
"82","学生",42,0,7,16,3,19,87
"83","オンライン",29,0,0,49,2,5,85
"84","県内",17,0,17,22,9,19,84
"85","次",29,0,44,5,0,6,84
"86","金",16,0,2,8,0,56,82
"87","さ",36,0,17,14,3,11,81
"88","少ない",28,0,30,8,5,8,79
"89","力",30,0,12,31,3,3,79
"90","等",17,0,1,17,6,37,78
"91","飲食",12,0,5,1,3,56,77
"92","減少",25,0,31,14,4,3,77
"93","状況",31,0,19,13,3,10,76
"94","外",14,0,20,24,5,12,75
"95","以上",21,0,19,15,4,15,74
"96","環境",20,1,8,34,2,9,74
"97","多く",35,0,8,9,12,9,73
"98","子育て",9,0,12,2,0,49,72
"99","学校",10,0,0,55,1,5,71
"100","教育",10,0,0,59,0,1,70
"101","新しい",18,0,2,18,14,18,70
"102","本",59,0,0,1,9,1,70
"103","万",31,0,17,9,2,11,70
"104","6",18,0,6,9,7,29,69
"105","大学",21,0,3,42,0,3,69
"106","地元",10,0,15,36,1,6,68
"107","ビジネス",43,0,6,11,4,3,67
"108","ここ",23,0,11,16,5,11,66
"109","やすい",33,0,8,12,3,10,66
"110","上",26,0,12,17,1,10,66
"111","部",32,0,6,25,2,1,66
"112","10",24,0,6,14,3,18,65
"113","高校",3,0,1,59,0,2,65
"114","世界",17,0,5,30,7,6,65
"115","グラフ",23,0,34,0,4,3,64
"116","後",30,0,3,22,1,8,64
"117","今後",30,3,11,12,3,5,64
"118","生徒",23,0,0,41,0,0,64
"119","制度",10,0,12,17,0,24,63
"120","都市",11,0,33,10,3,6,63
"121","一つ",38,0,9,8,3,4,62
"122","価格",8,1,36,0,8,9,62
