"Ngram","Freq"
"[い-ま-す-。]",635
"[て-い-ま-す]",473
"[ま-し-た-。]",349
"[り-ま-す-。]",251
"[鳥-取-県-の]",223
"[し-て-い-る]",222
"[る-こ-と-が]",207
"[、-鳥-取-県]",202
"[っ-て-い-る]",200
"[で-し-ょ-う]",199
"[に-よ-っ-て]",199
"[で-は-な-い]",195
"[っ-て-い-ま]",179
"[す-る-こ-と]",178
"[あ-り-ま-す]",177
"[に-つ-い-て]",176
"[思-い-ま-す]",173
"[と-思-い-ま]",171
"[の-で-は-な]",167
"[な-っ-て-い]",162
"[こ-と-が-で]",160
"[と-が-で-き]",160
"[。-し-か-し]",155
"[。-鳥-取-県]",154
"[て-い-る-。]",153
"[き-ま-す-。]",149
"[し-ょ-う-か]",146
"[し-か-し-、]",145
"[ょ-う-か-。]",145
"[れ-て-い-る]",142
"[取-り-組-み]",142
"[ま-せ-ん-。]",141
"[の-よ-う-な]",139
"[コ-ロ-ナ-ウ]",138
"[ウ-イ-ル-ス]",137
"[。-ま-た-、]",130
"[ナ-ウ-イ-ル]",129
"[ロ-ナ-ウ-イ]",129
"[ま-す-。-そ]",128
"[ま-す-。-こ]",127
"[れ-ま-す-。]",127
"[」-と-い-う]",124
"[れ-て-い-ま]",123
"[さ-れ-て-い]",121
"[い-う-こ-と]",119
"[が-で-き-る]",118
"[す-。-こ-の]",118
"[と-い-う-こ]",116
"[の-で-す-。]",115
"[す-。-鳥-取]",114
"[と-な-っ-て]",108
"[型-コ-ロ-ナ]",107
"[考-え-て-い]",107
"[新-型-コ-ロ]",107
"[ビ-ジ-ネ-ス]",104
"[し-ま-し-た]",101
"[く-だ-さ-い]",98
"[か-も-し-れ]",95
"[が-あ-り-ま]",95
"[の-よ-う-に]",95
"[て-い-る-の]",94
"[鳥-取-県-に]",92
"[し-ま-す-。]",89
"[る-と-い-う]",89
"[す-。-ま-た]",88
"[ま-す-。-鳥]",88
"[よ-っ-て-、]",88
"[て-い-る-と]",87
"[し-て-い-ま]",86
"[る-こ-と-で]",86
"[る-の-で-は]",86
"[オ-ン-ラ-イ]",85
"[ン-ラ-イ-ン]",85
"[す-。-し-か]",84
"[す-。-そ-の]",84
