"Ngram","Freq"
"[鳥取-県]",625
"[コロナ-ウイルス]",128
"[新型-コロナ]",127
"[可能-性]",66
"[高齢-化]",65
"[こと-鳥取]",55
"[県-外]",53
"[私-たち]",52
"[鳥取-市]",51
"[ウイルス-感染]",48
"[キャッシュ-レス]",47
"[こと-の]",39
"[令-和]",39
"[2020-年]",37
"[次-産業]",37
"[城北-高校]",37
"[鳥取-城北]",37
"[土地-価格]",37
"[活性-化]",36
"[人口-減少]",35
"[鳥取-県内]",34
"[万-円]",34
"[飲食-店]",33
"[感染-者]",33
"[奨学-金]",33
"[の-鳥取]",32
"[スマート-フォン]",32
"[自分-たち]",32
"[地域-活性]",32
"[4-月]",31
"[化-率]",31
"[従業-員]",31
"[全国-平均]",31
"[BUSINESS-ONLINE]",30
"[TOTTORI-BUSINESS]",30
"[魅力-的]",30
"[6-月]",29
"[V--]",29
"[ウイルス-影響]",29
"[オンライン-授業]",29
"[県-人口]",29
"[多い-の]",29
"[具体-的]",28
"[高齢-者]",28
"[事業-所]",28
"[者-数]",28
"[--RESAS]",27
"[生活-様式]",27
"[Web-就活]",26
"[安部-Project]",26
"[一-人]",26
"[感染-拡大]",26
"[総務-省]",26
"[名刺-交換]",26
"[掃除-ロボット]",25
"[年-6]",25
"[福利-厚生]",25
"[,-000]",24
"[産業-革命]",24
"[都市-部]",24
"[補助-金]",24
"[万-人]",24
"[2-年]",23
"[県-全国]",23
"[子育て-王国]",23
"[全国-的]",23
"[こと-こと]",22
"[の-私]",22
"[億-円]",22
"[県-V]",22
"[地元-愛]",22
"[和-2]",22
"[2-軸]",21
"[?-?]",21
"[こと-よう]",21
"[こと-多い]",21
"[の-こと]",21
"[パブリック-コメント]",21
"[引用-鳥取]",21
"[自己-理念]",21
"[詳細-こちら]",21
"[アフター-コロナ]",20
"[夏-祭り]",20
"[就職-活動]",20
"[生産-性]",20
"[2019-年]",19
"[県-高齢]",19
"[最低-賃金]",19
"[失業-率]",19
"[人-たち]",19
"[こと-私]",18
"[ない-こと]",18
"[よう-こと]",18
"[よう-鳥取]",18
"[一-度]",18
"[観光-業]",18
"[新しい-生活]",18
"[人-こと]",18
"[積極-的]",18
"[普及-率]",18
"[路線-バス]",18
"[1-人]",17
"[Go-To]",17
"[こと-ない]",17
"[やすい-環境]",17
"[コロナ-禍]",17
"[チェーン-店]",17
"[ポイント-還元]",17
"[ミレニアル-世代]",17
"[化-こと]",17
"[基本-的]",17
