"N1","N2","POS1","POS2","Freq"
"鳥取","県","名詞-名詞","固有名詞-接尾",624
"する","れる","動詞-動詞","自立-接尾",339
"する","いる","動詞-動詞","自立-非自立",320
"れる","いる","動詞-動詞","接尾-非自立",223
"する","こと","動詞-名詞","自立-非自立",214
"こと","できる","名詞-動詞","非自立-自立",187
"なる","いる","動詞-動詞","自立-非自立",151
"コロナ","ウイルス","名詞-名詞","一般-一般",128
"紹介","する","名詞-動詞","サ変接続-自立",127
"新型","コロナ","名詞-名詞","一般-一般",127
"する","いく","動詞-動詞","自立-非自立",125
"いる","の","動詞-名詞","非自立-非自立",103
"考える","いる","動詞-動詞","自立-非自立",90
"する","せる","動詞-動詞","自立-接尾",80
"いる","こと","動詞-名詞","非自立-非自立",79
"こと","ある","名詞-動詞","非自立-自立",68
"よう","なる","名詞-動詞","非自立-自立",67
"可能","性","名詞-名詞","形容動詞語幹-接尾",66
"高齢","化","名詞-名詞","一般-接尾",65
"言う","れる","動詞-動詞","自立-接尾",63
"ある","の","動詞-名詞","自立-非自立",62
"する","の","動詞-名詞","自立-非自立",60
"考える","られる","動詞-動詞","自立-接尾",59
"いく","こと","動詞-名詞","非自立-非自立",56
"県","外","名詞-名詞","一般-接尾",53
"私","たち","名詞-名詞","代名詞-接尾",52
"鳥取","市","名詞-名詞","固有名詞-接尾",51
"の","考える","名詞-動詞","非自立-自立",49
"ウイルス","感染","名詞-名詞","一般-サ変接続",48
"する","ため","動詞-名詞","自立-非自立",47
"キャッシュ","レス","名詞-名詞","一般-サ変接続",47
"化","する","名詞-動詞","接尾-自立",47
"いる","鳥取","動詞-名詞","非自立-固有名詞",45
"挙げる","られる","動詞-動詞","自立-接尾",44
"なる","の","動詞-名詞","自立-非自立",43
"行う","れる","動詞-動詞","自立-接尾",42
"する","鳥取","動詞-名詞","自立-固有名詞",41
"られる","いる","動詞-動詞","接尾-非自立",41
"思う","いる","動詞-動詞","自立-非自立",41
